GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
310M100US41060,41060,"St. Cloud, MN Metro Area",71888,665,53355,832,95.4,0.4,54566,802,2.3,0.3,22321,5640,0.3,0.1,37384,8389,1.1,0.2,39438,9332,0.0,0.1,4063,29962,0.6,0.2,39688,33714,0.4,0.1,32333,23000,1.5,0.2,37148,8523,94.5,0.4,54851,875,8.8,0.6,29482,4286,35.5,0.5,62651,1508,35.8,0.5,66541,1694,19.9,0.4,31278,1183,47080,765,67525,1355,46.0,0.9,69957,2129,54.0,0.9,66211,1464,81.6,1.2,75933,1244,11.9,1.0,27757,2627,6.5,0.7,42676,3806,24808,626,30169,1502,50.8,1.7,24518,1363,37.0,1.7,22092,912,13.8,1.5,33938,4409,49.2,1.7,36013,2096,33.6,1.7,31427,1386,15.6,1.4,49045,6172,29.2,(X),(X),(X),26.4,(X),(X),(X),33.2,(X),(X),(X)
310M100US41100,41100,"St. George, UT Metro Area",46526,693,49145,1580,94.5,0.6,49784,1657,0.3,0.2,24315,19087,1.3,0.2,19955,11610,0.5,0.2,71292,18703,0.7,0.2,32150,23520,1.9,0.5,46156,9153,0.8,0.3,34702,17818,6.6,0.5,42576,8384,90.0,0.6,50392,1921,5.1,0.7,29375,6386,32.7,0.8,50135,3256,31.4,0.8,59161,3818,30.8,0.7,41879,1833,35648,809,55318,1081,42.8,1.4,52655,1680,57.2,1.4,57319,1654,85.0,1.6,58720,1679,10.9,1.3,29793,5914,4.1,0.7,40775,9205,10878,703,25804,1555,55.7,3.5,22648,1610,47.3,3.5,21406,1318,8.4,1.9,47906,12131,44.3,3.5,31891,4777,33.2,3.3,27302,4129,11.1,2.5,47058,8889,26.9,(X),(X),(X),26.3,(X),(X),(X),27.2,(X),(X),(X)
310M100US41140,41140,"St. Joseph, MO-KS Metro Area",47245,565,45717,1400,94.0,0.5,47297,1575,2.9,0.4,21907,4223,0.4,0.2,33750,28571,0.5,0.1,57639,4193,0.1,0.1,"2,500-",***,0.8,0.3,21402,8604,1.4,0.3,35350,9280,3.0,0.4,33849,12668,92.1,0.5,47406,1579,5.0,0.6,25235,4730,31.9,0.8,54368,2346,39.1,0.7,53979,1626,24.0,0.6,30510,1234,30673,650,57576,1554,42.1,1.3,56038,2634,57.9,1.3,58336,1556,75.9,1.5,67599,1848,16.6,1.2,29854,1894,7.5,0.8,40756,2416,16572,672,25212,1253,52.7,2.1,21832,1109,47.1,2.1,20947,1173,5.5,1.2,40682,8423,47.3,2.1,30446,2673,37.5,2.1,26095,1633,9.8,1.3,48750,9209,25.6,(X),(X),(X),24.6,(X),(X),(X),25.3,(X),(X),(X)
310M100US41180,41180,"St. Louis, MO-IL Metro Area",1112296,3476,54109,321,78.9,0.2,60192,419,17.6,0.1,31314,551,0.2,0.1,42250,2453,1.8,0.1,69561,3105,0.0,0.1,92708,77421,0.4,0.1,39132,6452,1.1,0.1,44288,3618,1.9,0.1,42955,2059,77.5,0.1,60434,426,4.0,0.1,25250,1069,33.8,0.2,58647,773,40.3,0.2,67139,669,21.9,0.1,36878,384,728796,3872,68961,536,44.5,0.2,67574,985,55.5,0.2,69875,633,73.2,0.4,83105,531,20.4,0.3,31217,530,6.4,0.2,44626,1653,383500,3401,31473,339,54.6,0.4,27204,346,47.8,0.5,25179,340,6.8,0.3,52275,1811,45.4,0.4,37504,647,36.3,0.4,33262,823,9.1,0.3,55940,1603,25.9,(X),(X),(X),26.2,(X),(X),(X),24.0,(X),(X),(X)
310M100US41420,41420,"Salem, OR Metro Area",141200,974,47687,829,87.5,0.5,49256,838,0.6,0.1,39451,9892,1.4,0.2,34598,10950,1.6,0.2,46445,9492,0.6,0.1,31729,4984,5.9,0.4,36192,4286,2.4,0.2,43257,5788,13.7,0.4,38895,2299,80.4,0.5,50153,880,5.3,0.3,22351,2399,33.5,0.4,48126,1587,38.2,0.5,59157,1091,22.9,0.4,37602,1566,97359,1185,56083,1021,46.2,0.9,48882,1753,53.8,0.9,62369,1221,74.7,0.8,65716,1288,17.9,0.9,28945,1830,7.4,0.6,40965,4853,43841,1017,29943,1003,58.9,1.3,27033,1128,50.6,1.5,25445,1192,8.3,0.9,44733,7314,41.1,1.3,33902,1535,31.6,1.3,30707,1710,9.5,0.9,45665,4624,22.7,(X),(X),(X),22.7,(X),(X),(X),20.1,(X),(X),(X)
310M100US41500,41500,"Salinas, CA Metro Area",125123,1069,60143,1081,78.4,0.7,61167,1354,2.8,0.2,55264,7291,0.7,0.1,31509,11532,6.7,0.3,69670,4761,0.3,0.1,98021,59286,8.4,0.6,52154,4008,2.6,0.3,61431,6738,40.8,0.6,48525,1383,47.9,0.6,74156,1819,4.2,0.3,33490,3245,36.6,0.6,58024,1612,38.9,0.5,71551,2302,20.3,0.5,50983,2081,90391,1296,63823,1070,51.1,0.9,53261,1647,48.9,0.9,76876,2092,71.9,1.1,76406,1616,18.2,1.0,34997,2262,9.8,0.8,43684,3671,34732,955,42478,1474,55.2,1.5,37634,3744,45.3,1.6,33650,2435,9.9,1.1,61358,3252,44.8,1.5,47496,3522,32.4,1.4,40418,2254,12.4,1.2,67533,5329,26.3,(X),(X),(X),25.6,(X),(X),(X),24.3,(X),(X),(X)
310M100US41540,41540,"Salisbury, MD Metro Area",45012,1097,48991,1700,71.4,1.1,55248,2023,24.9,1.2,33919,5047,0.2,0.1,54565,34699,1.5,0.2,57604,11015,0.0,0.1,-,**,0.4,0.2,58681,27218,1.6,0.4,35769,8641,2.5,0.4,35124,6771,69.8,1.1,55784,1997,7.3,0.9,24388,4507,30.9,1.0,53820,2605,39.1,0.9,59084,2685,22.7,0.8,37829,1964,29548,885,58708,2532,44.9,1.5,53436,2403,55.1,1.5,63026,3267,67.3,2.0,73805,1870,24.8,1.6,30971,2361,7.9,1.4,40500,5125,15464,740,29837,2794,57.2,2.4,26831,2517,45.8,2.3,24420,2519,11.5,1.7,40223,5952,42.8,2.4,36292,3952,30.7,2.6,30373,7013,12.1,2.1,49392,3127,32.4,(X),(X),(X),31.5,(X),(X),(X),31.5,(X),(X),(X)
310M100US41620,41620,"Salt Lake City, UT Metro Area",373363,1311,60329,557,89.7,0.3,61984,619,1.3,0.1,35987,5075,0.8,0.1,31932,4560,2.9,0.1,60048,3881,0.8,0.1,49545,6799,3.1,0.2,40250,2536,1.4,0.1,47892,5135,12.5,0.2,42496,1577,80.9,0.3,64571,699,5.6,0.2,34063,2127,41.9,0.4,61075,860,36.1,0.3,74125,1062,16.3,0.2,41915,1013,264572,2044,70222,709,51.5,0.6,65569,1205,48.5,0.6,75063,1136,78.5,0.6,79095,806,15.0,0.5,38333,1314,6.5,0.3,46896,3248,108791,1718,36519,839,50.6,0.9,32469,927,41.1,1.0,28054,982,9.5,0.5,61786,2818,49.4,0.9,40679,1066,37.0,0.9,34721,1300,12.4,0.7,61858,3294,23.8,(X),(X),(X),23.5,(X),(X),(X),22.4,(X),(X),(X)
310M100US41660,41660,"San Angelo, TX Metro Area",42383,628,44357,1450,89.3,0.9,46110,1824,3.6,0.6,32090,5259,0.7,0.3,33438,27051,0.8,0.3,41450,29103,0.0,0.1,-,**,3.7,0.6,36910,4160,1.8,0.4,33068,21098,29.5,0.8,36154,2359,64.9,0.9,50804,2598,8.0,1.0,23079,2114,32.0,1.0,48022,3352,35.9,1.0,57098,3201,24.2,0.7,33528,3436,28635,714,56797,2310,41.8,1.5,50265,3313,58.2,1.5,62191,2171,72.4,2.0,69348,2225,20.8,1.7,25039,2024,6.9,1.4,47725,7226,13748,635,25345,1610,55.0,2.7,22676,2002,46.8,2.9,21466,1129,8.3,1.9,29110,3200,45.0,2.7,29531,3879,37.0,2.4,25667,2920,8.0,1.6,44698,13480,25.4,(X),(X),(X),25.2,(X),(X),(X),22.8,(X),(X),(X)
310M100US41700,41700,"San Antonio-New Braunfels, TX Metro Area",750152,2665,51208,461,80.0,0.3,53724,468,6.9,0.1,42810,1498,0.7,0.1,42184,4836,1.9,0.1,61696,4394,0.1,0.1,90865,31421,8.5,0.2,38137,1516,2.0,0.1,46806,3227,46.5,0.2,41770,580,43.6,0.2,64944,819,5.0,0.2,23617,1009,37.1,0.2,53802,629,38.6,0.2,60735,975,19.4,0.2,38636,826,521579,3287,60777,548,48.0,0.4,55409,827,52.0,0.4,65148,829,71.4,0.5,74650,624,21.5,0.3,30028,746,7.1,0.3,43306,1941,228573,2768,30645,474,53.2,0.7,26735,526,45.9,0.7,24624,750,7.2,0.4,50183,2247,46.8,0.7,35177,919,37.9,0.7,31233,686,9.0,0.4,54436,2647,28.0,(X),(X),(X),28.5,(X),(X),(X),25.0,(X),(X),(X)
